station,station_name,valid(UTC),tmpf,dwpf,sknt,drct,vis1_coeff,precip
LAX,LOS ANGELES INTL,2015-01-01 15:00,38,24,6,67,0.179,0,
ATL,ATLANTA INTL ARPT,2015-01-01 15:00,44,25,4,296,0.103,0,
DFW,DALLAS/FT WORTH,2015-01-01 15:00,32,30,4,357,0.944,0,
DEN,DENVER INTNL ARPT,2015-01-01 16:00,12,2,7,236,0.114,0,
LAX,LOS ANGELES INTL,2015-01-01 16:00,42,24,5,70,0.162,0,
ORD,CHICAGO O HARE,2015-01-01 16:00,20,8,16,236,0.087,0,
DFW,DALLAS/FT WORTH,2015-01-01 16:00,33,30,4,68,1.028,0,
ATL,ATLANTA INTL ARPT,2015-01-01 16:00,47,26,3,305,0.08,0,
ORD,CHICAGO O HARE,2015-01-01 17:00,24,9,16,251,0.091,0,
DFW,DALLAS/FT WORTH,2015-01-01 17:00,33,31,1,16,0.205,0,
ATL,ATLANTA INTL ARPT,2015-01-01 17:00,52,23,3,256,0.062,0,
DEN,DENVER INTNL ARPT,2015-01-01 17:00,15,5,3,224,0.095,0,
LAX,LOS ANGELES INTL,2015-01-01 17:00,47,25,4,57,0.143,0,
ORD,CHICAGO O HARE,2015-01-01 18:00,25,10,16,236,0.08,0,
LAX,LOS ANGELES INTL,2015-01-01 18:00,50,25,6,71,0.126,0,
DEN,DENVER INTNL ARPT,2015-01-01 18:00,23,7,5,261,0.074,0,
DFW,DALLAS/FT WORTH,2015-01-01 18:00,33,31,5,53,1.091,0,
ATL,ATLANTA INTL ARPT,2015-01-01 18:00,56,22,5,248,0.056,0,
DFW,DALLAS/FT WORTH,2015-01-01 19:00,34,32,3,78,0.352,0,
LAX,LOS ANGELES INTL,2015-01-01 19:00,53,29,6,65,0.117,0,
ATL,ATLANTA INTL ARPT,2015-01-01 19:00,55,23,0,343,0.061,0,
DEN,DENVER INTNL ARPT,2015-01-01 19:00,24,6,7,256,0.088,0,
ORD,CHICAGO O HARE,2015-01-01 19:00,28,12,16,237,0.082,0,
DFW,DALLAS/FT WORTH,2015-01-01 20:00,35,33,4,358,0.887,0,
ATL,ATLANTA INTL ARPT,2015-01-01 20:00,56,26,5,310,0.053,0,
DEN,DENVER INTNL ARPT,2015-01-01 20:00,24,4,3,231,0.085,0,
LAX,LOS ANGELES INTL,2015-01-01 20:00,54,33,5,116,0.118,0,
ORD,CHICAGO O HARE,2015-01-01 20:00,30,13,10,242,0.078,0,
LAX,LOS ANGELES INTL,2015-01-01 21:00,55,34,1,211,0.12,0,
ATL,ATLANTA INTL ARPT,2015-01-01 21:00,55,27,3,310,0.055,0,
DEN,DENVER INTNL ARPT,2015-01-01 21:00,23,9,6,264,0.106,0,
DFW,DALLAS/FT WORTH,2015-01-01 21:00,35,33,6,1,0.816,0,
ORD,CHICAGO O HARE,2015-01-01 21:00,31,14,13,233,0.077,0,
DEN,DENVER INTNL ARPT,2015-01-01 22:00,22,14,10,192,0.087,0,
DFW,DALLAS/FT WORTH,2015-01-01 22:00,35,34,5,30,0.51,0,
ORD,CHICAGO O HARE,2015-01-01 22:00,30,14,13,226,0.079,0,
LAX,LOS ANGELES INTL,2015-01-01 22:00,56,35,6,245,0.112,0,
ATL,ATLANTA INTL ARPT,2015-01-01 22:00,54,30,5,267,0.066,0,
ORD,CHICAGO O HARE,2015-01-01 23:00,30,14,11,223,0.08,0,
LAX,LOS ANGELES INTL,2015-01-01 23:00,55,35,7,253,0.107,0,
ATL,ATLANTA INTL ARPT,2015-01-01 23:00,53,30,3,288,0.063,0,
DFW,DALLAS/FT WORTH,2015-01-01 23:00,35,33,6,348,0.794,0,
DEN,DENVER INTNL ARPT,2015-01-01 23:00,21,17,9,212,0.115,0,
DEN,DENVER INTNL ARPT,2015-01-02 00:00,21,17,5,219,1.882,0,
ATL,ATLANTA INTL ARPT,2015-01-02 00:00,52,31,4,329,0.076,0,
DFW,DALLAS/FT WORTH,2015-01-02 00:00,35,33,6,10,0.584,0,
ORD,CHICAGO O HARE,2015-01-02 00:00,30,15,14,240,0.08,0,
LAX,LOS ANGELES INTL,2015-01-02 00:00,54,37,4,255,0.1,0,
DEN,DENVER INTNL ARPT,2015-01-02 01:00,20,18,5,217,2.53,0,
LAX,LOS ANGELES INTL,2015-01-02 01:00,53,39,5,246,0.101,0,
ATL,ATLANTA INTL ARPT,2015-01-02 01:00,49,34,7,330,0.171,0,
DFW,DALLAS/FT WORTH,2015-01-02 01:00,35,34,7,14,0.246,0,
ORD,CHICAGO O HARE,2015-01-02 01:00,29,15,14,244,0.082,0,
ATL,ATLANTA INTL ARPT,2015-01-02 02:00,47,33,7,337,0.138,0,
DEN,DENVER INTNL ARPT,2015-01-02 02:00,20,18,4,215,1.737,0,
LAX,LOS ANGELES INTL,2015-01-02 02:00,52,39,4,241,0.11,0,
LAX,LOS ANGELES INTL,2015-01-02 11:00,42,35,0,184,0.236,0,
LAX,LOS ANGELES INTL,2015-01-02 12:00,42,35,2,101,0.218,0,
ORD,CHICAGO O HARE,2015-01-02 12:00,19,14,2,240,0.138,0,
DFW,DALLAS/FT WORTH,2015-01-02 12:00,37,36,9,3,0.979,0,
LAX,LOS ANGELES INTL,2015-01-02 13:00,40,34,4,111,0.234,0,
ORD,CHICAGO O HARE,2015-01-02 13:00,16,13,3,190,0.159,0,
DFW,DALLAS/FT WORTH,2015-01-02 13:00,37,36,11,24,1.057,0,
ORD,CHICAGO O HARE,2015-01-02 14:00,19,15,4,277,0.16,0,
LAX,LOS ANGELES INTL,2015-01-02 14:00,38,33,3,94,0.218,0,
DFW,DALLAS/FT WORTH,2015-01-02 14:00,37,36,8,354,1.13,0,
ORD,CHICAGO O HARE,2015-01-02 15:00,25,19,2,310,0.15,0,
DFW,DALLAS/FT WORTH,2015-01-02 15:00,37,36,9,23,1.056,0,
LAX,LOS ANGELES INTL,2015-01-02 15:00,40,31,4,87,0.17,0,
LAX,LOS ANGELES INTL,2015-01-02 16:00,43,31,4,115,0.171,0,
ORD,CHICAGO O HARE,2015-01-02 16:00,28,19,2,14,0.147,0,
DFW,DALLAS/FT WORTH,2015-01-02 16:00,38,37,8,334,0.326,0,
ORD,CHICAGO O HARE,2015-01-02 17:00,30,19,1,60,0.139,0,
LAX,LOS ANGELES INTL,2015-01-02 17:00,46,31,5,114,0.157,0,
DFW,DALLAS/FT WORTH,2015-01-02 17:00,38,37,8,357,0.194,0,
LAX,LOS ANGELES INTL,2015-01-02 18:00,50,32,4,129,0.171,0,
ORD,CHICAGO O HARE,2015-01-02 18:00,32,19,3,100,0.139,0,
DFW,DALLAS/FT WORTH,2015-01-02 18:00,38,37,11,2,0.665,0,
LAX,LOS ANGELES INTL,2015-01-02 19:00,54,37,2,211,0.151,0,
DFW,DALLAS/FT WORTH,2015-01-02 19:00,39,37,9,13,0.756,0,
ORD,CHICAGO O HARE,2015-01-02 19:00,33,18,1,43,0.122,0,
LAX,LOS ANGELES INTL,2015-01-02 20:00,55,40,6,254,0.132,0,
ORD,CHICAGO O HARE,2015-01-02 20:00,34,16,4,186,0.1,0,
DFW,DALLAS/FT WORTH,2015-01-02 20:00,39,37,10,358,0.31,0,
ORD,CHICAGO O HARE,2015-01-02 21:00,33,16,4,180,0.094,0,
DFW,DALLAS/FT WORTH,2015-01-02 21:00,39,38,8,13,0.104,0,
LAX,LOS ANGELES INTL,2015-01-02 21:00,55,42,7,260,0.137,0,
LAX,LOS ANGELES INTL,2015-01-02 22:00,55,43,8,283,0.134,0,
DFW,DALLAS/FT WORTH,2015-01-02 22:00,40,39,6,352,0.736,0,
ORD,CHICAGO O HARE,2015-01-02 22:00,32,17,5,186,0.104,0,
DFW,DALLAS/FT WORTH,2015-01-02 23:00,40,39,8,14,1.234,0,
LAX,LOS ANGELES INTL,2015-01-02 23:00,56,45,8,261,0.097,0,
ORD,CHICAGO O HARE,2015-01-02 23:00,30,18,4,176,0.123,0,
ATL,ATLANTA INTL ARPT,2015-01-03 00:00,48,45,6,80,0.594,0,
ORD,CHICAGO O HARE,2015-01-03 00:00,29,20,7,139,0.173,0,
LAX,LOS ANGELES INTL,2015-01-03 00:00,55,41,8,255,0.083,0,
DFW,DALLAS/FT WORTH,2015-01-03 00:00,40,39,8,22,0.589,0,
LAX,LOS ANGELES INTL,2015-01-03 01:00,53,41,7,248,0.086,0,
ATL,ATLANTA INTL ARPT,2015-01-03 01:00,48,46,5,101,0.454,0,
DFW,DALLAS/FT WORTH,2015-01-03 01:00,40,39,8,27,0.668,0,
ORD,CHICAGO O HARE,2015-01-03 01:00,28,20,7,130,0.176,0,
LAX,LOS ANGELES INTL,2015-01-03 02:00,53,41,6,265,0.084,0,
ORD,CHICAGO O HARE,2015-01-03 02:00,28,20,6,142,0.199,0,
DFW,DALLAS/FT WORTH,2015-01-03 02:00,40,39,6,11,0.523,0,
ATL,ATLANTA INTL ARPT,2015-01-03 02:00,47,45,4,137,0.676,0,
ORD,CHICAGO O HARE,2015-01-03 03:00,29,21,7,150,0.157,0,
ATL,ATLANTA INTL ARPT,2015-01-03 03:00,48,46,6,133,0.613,0,
LAX,LOS ANGELES INTL,2015-01-03 03:00,53,41,5,246,0.119,0,
DFW,DALLAS/FT WORTH,2015-01-03 03:00,40,39,7,359,0.551,0,
DFW,DALLAS/FT WORTH,2015-01-03 04:00,40,39,6,322,0.771,0,
LAX,LOS ANGELES INTL,2015-01-03 04:00,53,42,4,237,0.106,0,
ATL,ATLANTA INTL ARPT,2015-01-03 04:00,48,45,6,126,0.23,0,
ORD,CHICAGO O HARE,2015-01-03 04:00,29,21,6,154,0.155,0,
DFW,DALLAS/FT WORTH,2015-01-03 05:00,40,39,7,329,0.335,0,
ATL,ATLANTA INTL ARPT,2015-01-03 05:00,48,45,6,117,0.139,0,
LAX,LOS ANGELES INTL,2015-01-03 05:00,52,43,3,17,0.142,0,
ORD,CHICAGO O HARE,2015-01-03 05:00,30,21,4,163,0.16,0,
LAX,LOS ANGELES INTL,2015-01-03 06:00,49,42,4,99,0.154,0,
ATL,ATLANTA INTL ARPT,2015-01-03 06:00,49,45,6,102,0.125,0,
ORD,CHICAGO O HARE,2015-01-03 06:00,30,21,7,138,0.171,0,
DFW,DALLAS/FT WORTH,2015-01-03 06:00,40,39,6,64,1.627,0.01,
LAX,LOS ANGELES INTL,2015-01-03 07:00,48,41,6,96,0.207,0,
ATL,ATLANTA INTL ARPT,2015-01-03 07:00,49,45,8,115,0.143,0,
DFW,DALLAS/FT WORTH,2015-01-03 07:00,40,39,7,278,0.282,0,
ORD,CHICAGO O HARE,2015-01-03 07:00,31,22,4,137,0.167,0,
ORD,CHICAGO O HARE,2015-01-03 08:00,31,23,3,99,0.201,0,
DFW,DALLAS/FT WORTH,2015-01-03 08:00,40,39,6,4,0.454,0,
ATL,ATLANTA INTL ARPT,2015-01-03 08:00,48,46,8,101,1.73,0,
LAX,LOS ANGELES INTL,2015-01-03 08:00,47,40,5,98,0.28,0,
ATL,ATLANTA INTL ARPT,2015-01-03 09:00,49,47,7,112,1.638,0,
DFW,DALLAS/FT WORTH,2015-01-03 09:00,40,39,5,59,0.118,0,
LAX,LOS ANGELES INTL,2015-01-03 09:00,46,39,4,100,0.239,0,
ORD,CHICAGO O HARE,2015-01-03 09:00,29,27,7,134,1.625,0,
DFW,DALLAS/FT WORTH,2015-01-03 10:00,39,38,4,257,0.096,0,
ORD,CHICAGO O HARE,2015-01-03 10:00,30,28,5,127,0.902,0,
ATL,ATLANTA INTL ARPT,2015-01-03 10:00,49,47,6,101,2.535,0,
LAX,LOS ANGELES INTL,2015-01-03 10:00,46,37,5,48,0.186,0,
ATL,ATLANTA INTL ARPT,2015-01-03 11:00,49,47,6,101,2.616,0,
ORD,CHICAGO O HARE,2015-01-03 11:00,30,29,6,107,1.394,0,
LAX,LOS ANGELES INTL,2015-01-03 11:00,44,37,2,88,0.213,0,
DFW,DALLAS/FT WORTH,2015-01-03 11:00,40,39,11,257,0.127,0,
ATL,ATLANTA INTL ARPT,2015-01-03 12:00,49,48,7,102,1.572,0,
ORD,CHICAGO O HARE,2015-01-03 12:00,31,29,8,119,0.912,0,
LAX,LOS ANGELES INTL,2015-01-03 12:00,43,38,2,106,0.219,0,
DEN,DENVER INTNL ARPT,2015-01-03 12:00,18,10,11,235,0.077,0,
DFW,DALLAS/FT WORTH,2015-01-03 12:00,39,38,7,282,0.088,0,
DEN,DENVER INTNL ARPT,2015-01-03 13:00,22,12,11,239,0.074,0,
DFW,DALLAS/FT WORTH,2015-01-03 13:00,39,37,9,291,0.065,0,
ATL,ATLANTA INTL ARPT,2015-01-03 13:00,50,48,7,102,0.681,0,
ORD,CHICAGO O HARE,2015-01-03 13:00,32,31,5,138,1.023,0,
LAX,LOS ANGELES INTL,2015-01-03 13:00,43,37,3,65,0.22,0,
ORD,CHICAGO O HARE,2015-01-03 14:00,32,31,6,140,0.912,0,
DFW,DALLAS/FT WORTH,2015-01-03 14:00,39,36,8,291,0.073,0,
LAX,LOS ANGELES INTL,2015-01-03 14:00,42,36,4,97,0.209,0,
DEN,DENVER INTNL ARPT,2015-01-03 14:00,21,12,10,233,0.068,0,
ATL,ATLANTA INTL ARPT,2015-01-03 14:00,50,48,9,116,1.822,0,
DEN,DENVER INTNL ARPT,2015-01-03 15:00,22,13,9,203,0.061,0,
DFW,DALLAS/FT WORTH,2015-01-03 15:00,39,36,11,296,0.05,0,
ORD,CHICAGO O HARE,2015-01-03 15:00,33,31,4,97,0.895,0,
ATL,ATLANTA INTL ARPT,2015-01-03 15:00,50,49,9,103,1.163,0,
LAX,LOS ANGELES INTL,2015-01-03 15:00,42,35,5,97,0.196,0,
ATL,ATLANTA INTL ARPT,2015-01-03 16:00,51,50,8,115,1.841,0,
DEN,DENVER INTNL ARPT,2015-01-03 16:00,25,17,5,145,0.065,0,
ORD,CHICAGO O HARE,2015-01-03 16:00,33,32,4,158,0.686,0,
LAX,LOS ANGELES INTL,2015-01-03 16:00,45,36,3,77,0.217,0,
DFW,DALLAS/FT WORTH,2015-01-03 16:00,40,36,11,289,0.05,0,
ATL,ATLANTA INTL ARPT,2015-01-03 17:00,52,51,6,113,0.643,0,
ORD,CHICAGO O HARE,2015-01-03 17:00,33,32,2,302,0.895,0,
DEN,DENVER INTNL ARPT,2015-01-03 17:00,30,23,5,144,0.071,0,
LAX,LOS ANGELES INTL,2015-01-03 17:00,49,37,6,81,0.262,0,
DFW,DALLAS/FT WORTH,2015-01-03 17:00,42,36,2,272,0.05,0,
DFW,DALLAS/FT WORTH,2015-01-03 18:00,43,36,7,225,0.05,0,
ATL,ATLANTA INTL ARPT,2015-01-03 18:00,52,51,7,116,1.03,0,
LAX,LOS ANGELES INTL,2015-01-03 18:00,52,39,6,105,0.248,0,
ORD,CHICAGO O HARE,2015-01-03 18:00,33,32,3,13,1.22,0,
DEN,DENVER INTNL ARPT,2015-01-03 18:00,31,23,18,54,0.085,0,
DEN,DENVER INTNL ARPT,2015-01-03 19:00,28,25,11,8,0.634,0,
DFW,DALLAS/FT WORTH,2015-01-03 19:00,45,37,6,215,0.05,0,
ORD,CHICAGO O HARE,2015-01-03 19:00,33,32,6,41,1.021,0,
ATL,ATLANTA INTL ARPT,2015-01-03 19:00,53,52,7,126,1.434,0,
LAX,LOS ANGELES INTL,2015-01-03 19:00,56,42,1,131,0.186,0,
ORD,CHICAGO O HARE,2015-01-03 20:00,33,32,5,1,0.909,0,
DEN,DENVER INTNL ARPT,2015-01-03 20:00,27,25,9,324,3.203,0,
DFW,DALLAS/FT WORTH,2015-01-03 20:00,49,38,10,208,0.054,0,
LAX,LOS ANGELES INTL,2015-01-03 20:00,57,43,4,189,0.16,0,
ATL,ATLANTA INTL ARPT,2015-01-03 20:00,53,52,5,106,2.666,0,
DEN,DENVER INTNL ARPT,2015-01-03 21:00,21,18,22,12,2.85,0,
ATL,ATLANTA INTL ARPT,2015-01-03 21:00,54,53,7,97,2.439,0,
ORD,CHICAGO O HARE,2015-01-03 21:00,34,33,3,354,0.718,0,
LAX,LOS ANGELES INTL,2015-01-03 21:00,58,43,8,264,0.093,0,
DFW,DALLAS/FT WORTH,2015-01-03 21:00,51,37,9,211,0.05,0,
ORD,CHICAGO O HARE,2015-01-03 22:00,34,32,4,9,0.5,0,
DFW,DALLAS/FT WORTH,2015-01-03 22:00,53,38,9,211,0.05,0,
ATL,ATLANTA INTL ARPT,2015-01-03 22:00,54,53,6,89,3.775,0,
DEN,DENVER INTNL ARPT,2015-01-03 22:00,17,14,18,21,0.813,0,
LAX,LOS ANGELES INTL,2015-01-03 22:00,58,45,8,258,0.115,0,
ORD,CHICAGO O HARE,2015-01-03 23:00,34,32,5,27,0.304,0,
DEN,DENVER INTNL ARPT,2015-01-03 23:00,14,11,18,24,1.264,0,
ATL,ATLANTA INTL ARPT,2015-01-03 23:00,54,53,8,106,2.996,0,
DFW,DALLAS/FT WORTH,2015-01-03 23:00,53,35,10,220,0.05,0,
LAX,LOS ANGELES INTL,2015-01-03 23:00,57,45,8,260,0.109,0,
DFW,DALLAS/FT WORTH,2015-01-04 00:00,50,36,7,207,0.05,0,
LAX,LOS ANGELES INTL,2015-01-04 00:00,56,46,7,261,0.109,0,
DEN,DENVER INTNL ARPT,2015-01-04 00:00,11,8,14,20,4.719,0.01,
ORD,CHICAGO O HARE,2015-01-04 00:00,33,32,6,335,0.354,0,
ATL,ATLANTA INTL ARPT,2015-01-04 00:00,54,53,6,115,6.622,0,
LAX,LOS ANGELES INTL,2015-01-04 01:00,55,46,8,269,0.112,0,
DFW,DALLAS/FT WORTH,2015-01-04 01:00,50,35,6,249,0.057,0,
ATL,ATLANTA INTL ARPT,2015-01-04 01:00,54,54,6,119,9.175,0,
DEN,DENVER INTNL ARPT,2015-01-04 01:00,9,6,10,56,1.355,0,
ORD,CHICAGO O HARE,2015-01-04 01:00,34,32,6,343,0.292,0,
DFW,DALLAS/FT WORTH,2015-01-04 02:00,51,33,9,263,0.058,0,
ATL,ATLANTA INTL ARPT,2015-01-04 02:00,55,54,7,134,14.54,0,
LAX,LOS ANGELES INTL,2015-01-04 02:00,54,47,8,266,0.129,0,
DEN,DENVER INTNL ARPT,2015-01-04 02:00,8,4,9,63,0.387,0,
ORD,CHICAGO O HARE,2015-01-04 02:00,33,32,6,349,0.53,0,
ORD,CHICAGO O HARE,2015-01-04 03:00,33,32,6,360,0.434,0,
LAX,LOS ANGELES INTL,2015-01-04 03:00,54,47,8,272,0.124,0,
ATL,ATLANTA INTL ARPT,2015-01-04 03:00,55,55,4,140,13.85,0,
DFW,DALLAS/FT WORTH,2015-01-04 03:00,50,33,9,278,0.053,0,
DEN,DENVER INTNL ARPT,2015-01-04 03:00,7,2,8,75,0.151,0,
DFW,DALLAS/FT WORTH,2015-01-04 04:00,48,34,9,280,0.055,0,
ATL,ATLANTA INTL ARPT,2015-01-04 04:00,57,56,7,129,0.937,0,
ORD,CHICAGO O HARE,2015-01-04 04:00,33,32,4,345,1.22,0,
DEN,DENVER INTNL ARPT,2015-01-04 04:00,1,-3,7,81,0.085,0,
LAX,LOS ANGELES INTL,2015-01-04 04:00,55,47,5,287,0.135,0,
DFW,DALLAS/FT WORTH,2015-01-04 05:00,43,34,7,320,0.065,0,
ORD,CHICAGO O HARE,2015-01-04 05:00,33,33,3,346,1.353,0,
DEN,DENVER INTNL ARPT,2015-01-04 05:00,1,-2,7,88,0.083,0,
LAX,LOS ANGELES INTL,2015-01-04 05:00,53,46,1,1,0.222,0,
ATL,ATLANTA INTL ARPT,2015-01-04 05:00,62,61,6,186,0.451,0,
DFW,DALLAS/FT WORTH,2015-01-04 06:00,42,33,9,309,0.066,0,
LAX,LOS ANGELES INTL,2015-01-04 06:00,53,46,1,74,0.224,0,
ATL,ATLANTA INTL ARPT,2015-01-04 06:00,64,63,5,204,0.326,0,
ORD,CHICAGO O HARE,2015-01-04 06:00,33,32,5,358,1.02,0,
DEN,DENVER INTNL ARPT,2015-01-04 06:00,-5,-7,8,161,0.1,0,
ORD,CHICAGO O HARE,2015-01-04 07:00,33,32,6,357,0.465,0,
DEN,DENVER INTNL ARPT,2015-01-04 07:00,-2,-5,7,165,0.105,0,
LAX,LOS ANGELES INTL,2015-01-04 07:00,52,46,4,35,0.262,0,
DFW,DALLAS/FT WORTH,2015-01-04 07:00,41,32,12,315,0.086,0,
ATL,ATLANTA INTL ARPT,2015-01-04 07:00,64,63,5,180,0.307,0,
LAX,LOS ANGELES INTL,2015-01-04 08:00,50,44,2,104,0.26,0,
DFW,DALLAS/FT WORTH,2015-01-04 08:00,39,32,13,319,0.107,0,
DEN,DENVER INTNL ARPT,2015-01-04 08:00,-4,-8,8,142,0.088,0,
ATL,ATLANTA INTL ARPT,2015-01-04 08:00,64,63,5,171,0.352,0,
ORD,CHICAGO O HARE,2015-01-04 08:00,33,32,5,328,0.796,0,
ORD,CHICAGO O HARE,2015-01-04 09:00,33,32,10,326,0.868,0,
DEN,DENVER INTNL ARPT,2015-01-04 09:00,-9,-13,13,165,0.088,0,
DFW,DALLAS/FT WORTH,2015-01-04 09:00,39,32,14,321,0.118,0,
ATL,ATLANTA INTL ARPT,2015-01-04 09:00,64,62,5,162,0.39,0,
LAX,LOS ANGELES INTL,2015-01-04 09:00,50,43,2,23,0.276,0,
DEN,DENVER INTNL ARPT,2015-01-04 10:00,-6,-10,10,164,0.09,0,
LAX,LOS ANGELES INTL,2015-01-04 10:00,46,42,2,113,0.29,0,
ATL,ATLANTA INTL ARPT,2015-01-04 10:00,64,63,3,102,0.374,0,
DFW,DALLAS/FT WORTH,2015-01-04 10:00,39,33,17,337,0.113,0,
ORD,CHICAGO O HARE,2015-01-04 10:00,32,31,10,331,1.155,0,
DEN,DENVER INTNL ARPT,2015-01-04 11:00,1,-4,8,234,0.102,0,
LAX,LOS ANGELES INTL,2015-01-04 11:00,46,41,3,66,0.282,0,
ORD,CHICAGO O HARE,2015-01-04 11:00,32,31,8,312,0.703,0,
DFW,DALLAS/FT WORTH,2015-01-04 11:00,37,31,22,344,0.124,0,
ATL,ATLANTA INTL ARPT,2015-01-04 11:00,62,59,8,239,0.55,0,
ORD,CHICAGO O HARE,2015-01-04 12:00,32,30,10,316,3.66,0,
